radius,temperature
6371000.0,300.0
6348400.0,595.6
6325800.0,869.8
6303300.0,1103.2
6280700.0,1287.1
6258100.0,1425.1
6235500.0,1524.5
6213000.0,1597.0
6190400.0,1650.2
6167800.0,1691.2
6145200.0,1718.0
6122600.0,1731.5
6100100.0,1740.3
6077500.0,1747.4
6054900.0,1753.9
6032300.0,1760.1
6009800.0,1766.1
5987200.0,1771.8
5964600.0,1777.2
5942000.0,1782.3
5919400.0,1787.2
5896900.0,1791.7
5874300.0,1796.0
5851700.0,1799.9
5829100.0,1803.5
5806500.0,1806.9
5784000.0,1810.0
5761400.0,1813.0
5738800.0,1816.0
5716200.0,1818.9
5693700.0,1821.9
5671100.0,1825.1
5648500.0,1828.3
5625900.0,1831.3
5603300.0,1834.1
5580800.0,1836.8
5558200.0,1839.4
5535600.0,1842.1
5513000.0,1844.8
5490500.0,1847.7
5467900.0,1850.6
5445300.0,1853.6
5422700.0,1856.6
5400100.0,1859.6
5377600.0,1862.7
5355000.0,1865.7
5332400.0,1868.6
5309800.0,1871.6
5287200.0,1874.7
5264700.0,1878.0
5242100.0,1881.6
5219500.0,1885.5
5196900.0,1889.7
5174400.0,1894.1
5151800.0,1898.8
5129200.0,1903.6
5106600.0,1908.5
5084000.0,1913.2
5061500.0,1918.0
5038900.0,1922.6
5016300.0,1927.1
4993700.0,1931.4
4971200.0,1935.6
4948600.0,1939.6
4926000.0,1943.5
4903400.0,1947.3
4880800.0,1951.1
4858300.0,1954.8
4835700.0,1958.6
4813100.0,1962.3
4790500.0,1966.0
4768000.0,1969.7
4745400.0,1973.3
4722800.0,1976.9
4700200.0,1980.5
4677600.0,1984.0
4655100.0,1987.7
4632500.0,1991.4
4609900.0,1995.3
4587300.0,1999.3
4564800.0,2003.5
4542200.0,2007.7
4519600.0,2012.0
4497000.0,2016.4
4474400.0,2020.8
4451900.0,2025.3
4429300.0,2029.9
4406700.0,2034.8
4384100.0,2039.8
4361500.0,2045.0
4339000.0,2050.3
4316400.0,2055.5
4293800.0,2060.7
4271200.0,2065.6
4248700.0,2070.4
4226100.0,2074.9
4203500.0,2079.4
4180900.0,2083.9
4158300.0,2088.4
4135800.0,2092.9
4113200.0,2097.6
4090600.0,2102.1
4068000.0,2106.2
4045500.0,2109.6
4022900.0,2112.5
4000300.0,2114.9
3977700.0,2116.8
3955100.0,2118.2
3932600.0,2119.2
3910000.0,2119.9
3887400.0,2120.4
3864800.0,2120.8
3842200.0,2121.1
3819700.0,2121.5
3797100.0,2121.8
3774500.0,2121.9
3751900.0,2121.8
3729400.0,2121.9
3706800.0,2122.6
3684200.0,2125.1
3661600.0,2131.3
3639000.0,2144.7
3616500.0,2171.5
3593900.0,2222.8
3571300.0,2318.0
3548700.0,2488.4
3526200.0,2779.7
3503600.0,3226.2
3481000.0,3800.0
