Radius (m),alpha (1/K)
6371000.0,4.29576e-05
6321000.0,4.0576e-05
6271000.0,3.52372e-05
6221000.0,3.20588e-05
6171000.0,2.95737e-05
6121000.0,2.74613e-05
6071000.0,2.56881e-05
6021000.0,2.4883e-05
5971000.0,2.30687e-05
5921000.0,2.32865e-05
5871000.0,2.22601e-05
5821000.0,1.97443e-05
5771000.0,1.88445e-05
5721000.0,1.88097e-05
5671000.0,2.44851e-05
5621000.0,2.44306e-05
5571000.0,2.45867e-05
5521000.0,2.39193e-05
5471000.0,2.32945e-05
5421000.0,2.27045e-05
5371000.0,2.2143e-05
5321000.0,2.16085e-05
5271000.0,2.11033e-05
5221000.0,2.06253e-05
5171000.0,2.01661e-05
5121000.0,1.97265e-05
5071000.0,1.93085e-05
5021000.0,1.89112e-05
4971000.0,1.85274e-05
4921000.0,1.81582e-05
4871000.0,1.7806e-05
4821000.0,1.74696e-05
4771000.0,1.71435e-05
4721000.0,1.68283e-05
4671000.0,1.65266e-05
4621000.0,1.62375e-05
4571000.0,1.59553e-05
4521000.0,1.56831e-05
4471000.0,1.54213e-05
4421000.0,1.51696e-05
4371000.0,1.49235e-05
4321000.0,1.4684e-05
4271000.0,1.44538e-05
4221000.0,1.42319e-05
4171000.0,1.40141e-05
4121000.0,1.38013e-05
4071000.0,1.35964e-05
4021000.0,1.33989e-05
3971000.0,1.32043e-05
3921000.0,1.30135e-05
3871000.0,1.28295e-05
3821000.0,1.26515e-05
3771000.0,1.31767e-05
3721000.0,1.49919e-05
3671000.0,1.4784e-05
3621000.0,1.4581e-05
3571000.0,1.438e-05
3521000.0,1.41842e-05
3480000.0,1.40306e-05
