Radius (m),Cp (J/kg K)
6371000.0,1256.864543719391
6321000.0,1250.9209674998126
6271000.0,1240.854123935682
6221000.0,1234.2031384058305
6171000.0,1228.7079585517042
6121000.0,1224.0235696994982
6071000.0,1220.2123614247182
6021000.0,1219.6892294290712
5971000.0,1215.298097742049
5921000.0,1222.6516292416018
5871000.0,1220.040103037154
5821000.0,1211.5964526628222
5771000.0,1209.6497877300874
5721000.0,1212.3363850959515
5671000.0,1245.8206675093252
5621000.0,1247.5255409795186
5571000.0,1250.2689338184014
5521000.0,1248.310017907147
5471000.0,1246.4859232314664
5421000.0,1244.759003690083
5371000.0,1243.113179069995
5321000.0,1241.5416800203259
5271000.0,1240.0511960777112
5221000.0,1238.6540557258857
5171000.0,1237.3005388143795
5121000.0,1235.996748645821
5071000.0,1234.7668099887533
5021000.0,1233.5907622949317
4971000.0,1232.4527942511481
4921000.0,1231.3552856174902
4871000.0,1230.3071486198055
4821000.0,1229.3140358143048
4771000.0,1228.3415780985047
4721000.0,1227.4003235977132
4671000.0,1226.49209729654
4621000.0,1225.6362079387843
4571000.0,1224.7801741996543
4521000.0,1223.958402684747
4471000.0,1223.171038067053
4421000.0,1222.419139429639
4371000.0,1221.6676864239523
4321000.0,1220.9384289012944
4271000.0,1220.2341836358298
4221000.0,1219.5589351305493
4171000.0,1218.8958992232697
4121000.0,1218.235310890281
4071000.0,1217.6009313322838
4021000.0,1216.997855229602
3971000.0,1216.3995557627754
3921000.0,1215.7900458143124
3871000.0,1215.2174311767444
3821000.0,1214.6631114559116
3771000.0,1218.7530331390508
3721000.0,1231.226287973882
3671000.0,1230.4966342460425
3621000.0,1229.7694142651999
3571000.0,1229.0472922322424
3521000.0,1228.3415971052013
3480000.0,1227.8774823287827
