Radius (m),rho (kg/m^3)
6371000.0,3127.97
6321000.0,3244.17
6271000.0,3324.55
6221000.0,3378.98
6171000.0,3425.6
6121000.0,3470.76
6071000.0,3515.76
6021000.0,3567.3
5971000.0,3624.49
5921000.0,3791.89
5871000.0,3826.85
5821000.0,3903.09
5771000.0,3948.8
5721000.0,4011.15
5671000.0,4302.32
5621000.0,4368.04
5571000.0,4446.63
5521000.0,4477.6
5471000.0,4507.97
5421000.0,4537.8
5371000.0,4567.47
5321000.0,4596.9
5271000.0,4625.82
5221000.0,4654.25
5171000.0,4682.61
5121000.0,4710.78
5071000.0,4738.51
5021000.0,4765.81
4971000.0,4793.08
4921000.0,4820.2
4871000.0,4846.92
4821000.0,4873.27
4771000.0,4899.61
4721000.0,4925.85
4671000.0,4951.73
4621000.0,4977.26
4571000.0,5002.88
4521000.0,5028.35
4471000.0,5053.52
4421000.0,5078.38
4371000.0,5103.34
4321000.0,5128.28
4271000.0,5152.89
4221000.0,5177.24
4171000.0,5201.72
4121000.0,5226.25
4071000.0,5250.46
4021000.0,5274.39
3971000.0,5298.53
3921000.0,5322.76
3871000.0,5346.69
3821000.0,5370.38
3771000.0,5409.82
3721000.0,5479.93
3671000.0,5505.23
3621000.0,5530.33
3571000.0,5555.96
3521000.0,5581.46
3480000.0,5602.04
